breed,coat,key_facts,size,shedding,tags,description,playfulness,vocality,activeness,docility,friendliness,grooming,hardiness,health,indepedence,intelligence,lifespan_low,lifespan_high,need_for_att
Egyptian Mau,Short,"Needs little grooming, Suited to indoor and outdoor life, Can be easily startled",Medium,3,"Lively, Active, Sensitive, Playful, Intelligent",It is said by admirers that the Egyptian Mau has the finest reflexes of any cat.,5,4,5,1,3,1,3,4,3,4,13,16,4
Tonkinese,Short,"Requires a lot of attention, Needs moderate grooming, Suited to indoor and outdoor life",Medium,2,"Active, Affectionate, Alert, Friendly",Tonkinese cats are very vocal and communicate their needs to their owners out loud.,4,4,5,3,4,1,3,2,2,4,10,16,4
Japanese Bobtail,Short/long,"Needs moderate grooming, Best suited to indoor life, Good with people",Medium,3,"Intelligent, Playful, Energetic, Loving, Friendly, Lively, Vocal","Full of energy, always playful, loving, endearing and happy, Japanese Bobtail cats have a very friendly and sociable nature.",5,4,4,2,4,2,3,4,2,4,15,18,4
American Wirehair,Rex,"Needs moderate grooming, Best suited to indoor life, Patient with children and other animals",Medium,3,"Calm, Sociable, Quiet, Affectionate, Playful, Intelligent, Independent","American Wirehairs have made a name for themselves as popular family pets thanks to their relaxed, happy nature.",4,3,3,2,3,2,3,5,3,4,15,16,3
Pixiebob,Short,"Needs moderate grooming, Suited to indoor and outdoor life, Patient with children and other animals",Medium,4,"Intelligent, Sociable, Active, Playful","Pixiebob cats are the only breed that accepts polydactyls, and can have up to seven toes on each foot.",4,3,4,2,4,4,4,5,2,5,,,4
Himalayan,Long,,Medium to large,5,,,3,1,1,5,3,5,2,2,2,2,9,15,4
Birman,Semi-long,,,3,,,3,1,2,5,4,4,3,2,2,3,,,4
Somali,Long,"Needs a lot of exercise, Requires an outdoor enclosure, Needs moderate grooming",Medium,4,"Active, Intelligent, Playful, Affectionate","The Somali is a very intelligent cat that loves to play; many will fetch toys, open cupboards and play with water.",5,1,5,1,4,3,2,2,3,4,,,4
York Chocolate,Long,,,,,,4,1,4,5,5,1,4,,4,4,,,4
Norwegian Forest,Long,"Suited to outdoor life, Good with children, A cat tree is essential",Large,4,"Calm, Even-tempered, Playful, Active",It’s believed that the ancestors of the Norwegian Forest Cat were the household pets of the Norwegian Vikings.,4,1,4,4,4,3,4,2,3,4,14,16,3
Colorpoint Shorthair,Short,,,2,,,5,,,,4,1,,2,,4,,,
American Bobtail,Short/long,"Needs moderate grooming, Best suited to indoor life, Patient with children and other animals",Large,4,"Sociable, Calm, Even-tempered, Loving, Intelligent, Affectionate, Friendly, Playful","American Bobtails are playful, intelligent cats who can be taught to play fetch, hide and seek, and many other games.",4,3,4,2,4,3,4,4,3,4,13,15,4
Korat,Short,"Needs little grooming, Suited to indoor and outdoor life, Shouldn’t be left alone",Medium,1,"Energetic, Intelligent, Affectionate, Sensitive, Calm, Quiet","Energetic, intelligent, affectionate and exclusive, Korats accept other cats, but have a dominant nature and will ensure they’re in charge.",4,3,4,1,3,1,2,4,2,4,15,20,4
Peterbald,"Hairless/flocked, velour, brush, or straight","Best suited to indoor life, Needs moderate grooming, Patient with children and other animals",Medium,,"Intelligent, Lively, Playful","The Peterbalds are very intelligent, lively and playful. These cats remain playful and lively throughout their life.",,,,,,,,,,,12,15,
Ocicat,Short,"Needs little grooming, Suited to indoor and outdoor life, Patient with children and other animals",Medium,2,"Sociable, Active, Confident, Intelligent","The Ocicat may look wild, but it is actually a devoted family cat.",5,4,5,1,4,1,3,3,2,4,15,18,4
Chinese Li Hua,Short,,,3,,,4,,,,4,1,,3,,4,,,
Manx,Short/long,"Suited to indoor and outdoor life, Needs moderate grooming, Good with people",Medium,3,"Even-tempered, Sociable, Quiet, Playful","Manx cats are known for their excellent jumping skills, due to their unique build and powerful hind legs.",4,2,3,4,3,3,1,3,3,4,8,14,3
Ragdoll,Long,"Needs moderate grooming, Best suited to indoor life, Patient with children and other animals",Large,4,"Affectionate, Calm, Sociable, Friendly",A relaxed and happy cat that is generally loving and laid-back.,3,2,2,5,4,4,3,3,2,4,12,17,2
Javanese,Long,,,3,,,5,5,5,2,4,2,3,2,1,5,,,5
Thai,Short,"Requires a lot of attention, Best suited to indoor life, Needs little grooming",Medium,,"Affectionate, Vocal, Sociable, Playful, Active","Thai cats are very active and playful, but they are calmer than Siamese cats.",,,,,,,,,,,,,
Bombay,Short,"Needs little grooming, Suited to indoor and outdoor life, Shouldn’t be left alone",Medium,2,"Intelligent, Affectionate, Sociable, Even-tempered, Active","Bombays are sweet, cuddly and outgoing, making intelligent, affectionate companions.",4,2,3,4,4,1,3,4,2,3,12,16,3
Sokoke,Short,"Needs moderate grooming, Suited to indoor and outdoor life, Low maintenance",Medium,,"Intelligent, Active, Affectionate, Playful",The Sokoke is believed to be one of the rarest domestic cat breeds in the world.,,,,,,,,,,,,,
Turkish Van,Semi-long,"Needs moderate grooming, May not get on well with children, Suited to indoor and outdoor life",Medium,2,"Loyal, Loving, Affectionate, Active, Intelligent, Vocal",The Turkish Van likes playing with water and is the only cat known to swim of their own free will.,4,4,5,2,3,3,4,4,3,4,,,4
Siamese,Short,"Needs little grooming, Suited to indoor and outdoor life, Happiest in pairs",Medium,2,"Loving, Loyal, Playful, Vocal, Intelligent, Active","Siamese cats make devoted pets who offer their owners plenty of attention. Their sociable, active personalities make them excellent additions to the family home.",5,5,4,1,3,1,2,3,1,5,15,20,5
Persian,Long,"Best suited to quiet homes, Needs a lot of grooming, Best suited to indoor life",Medium,5,"Quiet, Calm, Sociable, Affectionate","Despite their charming, musical voices, Persians prefer to communicate with their owners using their intelligent expressions.",3,1,1,5,3,5,2,2,2,2,12,17,4
LaPerm,Rex,"Needs moderate grooming, Suited to indoor and outdoor life, Patient with children and other animals",Medium,2,"Intelligent, Affectionate, Active, Sociable, Vocal","LaPerms are loving, sociable cats who are known for their patience with all members of the family.",4,1,4,4,4,2,4,4,3,4,10,15,3
Selkirk Rex,Rex (Short/long),"Needs moderate grooming, Suited to indoor and outdoor life, Patient with children and other animals",Medium,4,"Quiet, Even-tempered, Lively, Loving","The striking Selkirk Rex's origins date back to 1987, when a kitten known as kitten Miss DePesto was born with a unique crinkled coat and curly whiskers.",3,3,2,5,4,4,4,3,3,3,,,4
Ragamuffin,Long,"Best suited to indoor life, Needs moderate grooming, Patient with children and other animals",Large,4,"Loving, Affectionate, Playful, Calm","RagaMuffins are loving, trusting cats who can easily be led away from home. As such they are best suited to life indoors.",3,2,2,5,4,4,3,4,2,4,,,2
Exotic Shorthair,Short,"Needs a lot of grooming, Best suited to indoor life, Best suited to quiet homes",Medium,3,"Calm, Quiet, Sociable","The Exotic Shorthair has a sweet, gentle nature and is quiet and easy to live with.",3,1,1,5,4,2,2,2,2,2,,,4
Asian,Short,"Needs moderate grooming, Suited to indoor and outdoor life, Good with people",Medium,,"Lively, Sociable, Vocal, Energetic, Affectionate, Intelligent, Confident","They like to play, are very affectionate and want to be part of all aspects of their owner’s life.",,,,,,,,,,,14,15,
Nebelung,Semi-long,,,4,,,4,2,4,3,3,3,4,4,2,4,,,4
Munchkin,Short/long,"Needs moderate grooming, Best suited to indoor life, Patient with children and other animals",Medium,,"Playful, Sociable, Friendly","The Munchkin is widely known for their unique, short-legged stature, but their playful, adaptable nature is what has won the hearts of their admirers.",5,2,4,4,4,3,3,,1,5,12,14,5
Maine Coon,Long,"Needs moderate grooming, Suited to indoor and outdoor life, Low maintenance",Giant,4,"Calm, Quiet, Even-tempered, Friendly","Maine Coons are one of the largest breeds of domestic cat whose small, quiet voices don't seem to fit their stature.",4,1,3,4,4,4,5,3,4,4,12,15,3
American Curl,Short/long,"Needs moderate grooming, Best suited to indoor life, Requires a lot of attention",Medium,4,"Friendly, Loving, Sociable, Even-tempered, Calm, Intelligent, Playful","American Curls are gentle, easy-going and loving cats who settle into any household, adapting easily to life with other pets or children in the home.",4,1,4,3,4,3,4,5,3,4,15,20,4
Bengal,Short,"A cat tree is essential, Needs little grooming, Good with children",Medium,2,"Confident, Sociable, Vocal, Energetic, Playful","The Bengal was first produced by crossing domesticated tabbies with the Asian Leopard Cat, creating the first hybrid females.",5,2,5,1,4,1,3,3,2,5,12,16,4
Chartreux,Short,"Needs little grooming, Low maintenance, Best suited to indoor life",Medium,4,"Quiet, Loving, Loyal, Calm","The Chartreux has a very balanced character. They are friendly, calm and quiet, but always present.",3,1,3,4,4,2,4,4,3,4,12,15,3
Burmilla,Short/long,"Suited to indoor and outdoor life, Requires a lot of attention, Needs moderate grooming",Medium,3,"Sociable, Quiet, Affectionate, Friendly, Intelligent","Loyal, devoted and affectionate, they will stay by their owner, always keeping them company.",4,5,3,4,4,1,3,3,4,4,12,14,3
Snowshoe,Short,"Needs moderate grooming, Suited to indoor and outdoor life, Requires a lot of attention",Medium,3,"Sociable, Friendly, Playful, Intelligent, Active","Each Snowshoe cat is unique, with no two presenting with the same markings.",5,4,4,3,4,3,3,5,4,4,,,4
Don Sphynx,Hairless,"Needs moderate grooming, Best suited to indoor life, Happiest in pairs",Medium,,"Active, Sociable, Affectionate, Intelligent, Loyal","Also known as the Donskoy, the Don Sphynx is an intriguing, elegant, unique and inquisitive cat.",,,,,,,,,,,,,
Devon Rex,Rex,"Needs a lot of grooming, Requires an outdoor enclosure, Good with people",Medium,1,"Sociable, Energetic, Affectionate, Vocal, Playful","The Devon Rex's devotion to their owner means that these loving, intelligent cats are quickly capable of learning tricks, such as fetch.",4,2,4,3,4,1,3,1,2,4,,,4
German Rex,Rex,"Needs moderate grooming, Best suited to indoor life, Good with people",Medium,,"Playful, Affectionate, Loyal",The German Rex has an independent yet affectionate character.,,,,,,,,,,,,,
Turkish Angora,Semi-long,"Patient with children and other animals, Best suited to indoor life, Needs little grooming",Medium,2,"Adaptable, Loving, Playful, Confident","The assertive, confident Turkish Angora will settle easily into any home, even with other pets, so long as they are able to assert themselves as top cat .",4,1,4,2,3,3,3,3,2,4,,,4
Toyger,Short,,Medium,,,,,,,,,,,,,,,,
Kurilian Bobtail,Short/long,"Needs moderate grooming, Suited to indoor and outdoor life, A cat tree is essential",Medium,,"Friendly, Sociable, Calm, Affectionate, Quiet, Active","The Kurilian Bobtail is sociable with humans and other animals alike. As such, these relaxed, playful cats settle easily into any home environment and form strong bonds with their families.",,,,,,,,,,,15,20,
Sphynx,Hairless,"Needs a lot of grooming, Patient with children and other animals, Best suited to indoor life",Medium,1,"Affectionate, Even-tempered, Lively, Intelligent, Sociable, Quiet","Despite being almost entirely hairless, the Sphynx cat still needs plenty of grooming.",5,4,4,4,5,5,3,2,1,5,15,20,5
Scottish Fold,Short/long,"Needs a lot of grooming, Suited to indoor and outdoor life, Patient with children and other animals",Medium,3,"Intelligent, Loyal, Friendly","Scottish Folds have a quiet, sociable character, and while they are prone to sleeping for long periods of the day, they also enjoy playing with their owners.",4,1,2,4,4,3,2,3,4,4,12,15,3
Burmese,Short,"Needs little grooming, Suited to indoor and outdoor life, Happiest in pairs",Medium,2,"Playful, Affectionate, Sociable, Energetic, Confident","Whilst playful and mischievous, they are also deeply affectionate, forming a close bond with their owners on whom they are very dependent.",5,4,4,1,4,1,3,2,2,4,,,4
Savannah,Short,,Large weighing 12 to 25 pounds,3,,,5,,,,5,1,,5,,5,12,20,
Oriental,Semi-long,"Needs moderate grooming, Suited to indoor and outdoor life, Requires a lot of attention",Medium,,"Lively, Intelligent, Sociable, Vocal","With hundreds of recognised varieties, Orientals are one of the most diverse breeds in terms of coat patterns and colours.",,,,,,,,,,,10,15,
Havana Brown,Short,"Needs moderate grooming, Best suited to indoor life, Requires a lot of attention",Medium,3,"Affectionate, Sociable, Quiet, Intelligent, Friendly","Havanas make fantastic family cats. Thanks to their intelligent, sociable and curious nature, these cats like to involve themselves in any activity taking place in the home.",4,1,3,3,3,1,3,4,2,5,12,15,5
American Shorthair,Short,"Requires lots of space, Suited to indoor and outdoor life, Needs little grooming",Medium,3,"Even-tempered, Calm, Sociable, Quiet, Intelligent, Independent, Playful","American Shorthairs are relaxed, laid-back cats, although do still exhibit burst of playful energy, even in their older years.",4,1,2,4,4,1,4,4,4,3,15,20,3
domestic shorthair,,,,,,,,,,,,,,,,,,,
domestic medium hair,,,,,,,,,,,,,,,,,,,
domestic longhair ,,,,,,,,,,,,,,,,,,,
